Date,Open,High,Low,Close,Adj Close,Volume
2014-05-12,1.068500,1.071700,1.062600,1.067900,1.067900,0
2014-05-19,1.067700,1.085700,1.067500,1.082200,1.082200,0
2014-05-26,1.082300,1.085100,1.071900,1.073800,1.073800,0
2014-06-02,1.075200,1.083000,1.068600,1.071200,1.071200,0
2014-06-09,1.070500,1.070800,1.059500,1.064100,1.064100,0
2014-06-16,1.064600,1.071800,1.060200,1.065800,1.065800,0
2014-06-23,1.065600,1.068800,1.058500,1.061800,1.061800,0
2014-06-30,1.062200,1.071400,1.053000,1.068700,1.068700,0
2014-07-07,1.068600,1.070400,1.060000,1.065300,1.065300,0
2014-07-14,1.065700,1.071700,1.063200,1.064000,1.064000,0
2014-07-21,1.064300,1.068000,1.055900,1.063800,1.063800,0
2014-07-28,1.063600,1.077900,1.061900,1.074400,1.074400,0
2014-08-04,1.073900,1.082000,1.068600,1.077900,1.077900,0
2014-08-11,1.077800,1.081200,1.071200,1.073200,1.073200,0
2014-08-18,1.073400,1.082000,1.070000,1.075500,1.075500,0
2014-08-25,1.075500,1.078300,1.066600,1.071300,1.071300,0
2014-09-01,1.071800,1.079200,1.063900,1.067400,1.067400,0
2014-09-08,1.067800,1.110400,1.066600,1.110100,1.110100,0
2014-09-15,1.109600,1.119900,1.099100,1.119000,1.119000,0
2014-09-22,1.118400,1.142800,1.117100,1.142500,1.142500,0
2014-09-29,1.144400,1.156800,1.134000,1.155000,1.155000,0
2014-10-06,1.154300,1.154700,1.123600,1.154600,1.154600,0
2014-10-13,1.152400,1.155100,1.132500,1.141600,1.141600,0
2014-10-20,1.142000,1.146200,1.132500,1.136400,1.136400,0
2014-10-27,1.135600,1.144790,1.122100,1.143100,1.143100,0
2014-11-03,1.142500,1.170700,1.141300,1.156820,1.156820,0
2014-11-10,1.156900,1.163800,1.138400,1.142500,1.142500,0
2014-11-17,1.142600,1.167100,1.137000,1.152000,1.152000,0
2014-11-24,1.152100,1.184700,1.149000,1.184400,1.184400,0
2014-12-01,1.185100,1.205550,1.170800,1.203700,1.203700,0
2014-12-08,1.203900,1.218100,1.194100,1.217400,1.217400,0
2014-12-15,1.217700,1.231700,1.208600,1.227200,1.227200,0
2014-12-22,1.227400,1.235700,1.223400,1.232100,1.232100,0
2014-12-29,1.232200,1.241400,1.217000,1.239500,1.239500,0
2015-01-05,1.238600,1.244200,1.214900,1.216200,1.216200,0
2015-01-12,1.216200,1.239100,1.205700,1.215500,1.215500,0
2015-01-19,1.215500,1.272300,1.213100,1.269700,1.269700,0
2015-01-26,1.268800,1.293000,1.246300,1.285000,1.285000,0
2015-02-02,1.285300,1.311000,1.270000,1.288500,1.288500,0
2015-02-09,1.288000,1.307500,1.275200,1.287700,1.287700,0
2015-02-16,1.287200,1.288900,1.273400,1.274500,1.274500,0
2015-02-23,1.274600,1.292000,1.263800,1.284400,1.284400,0
2015-03-02,1.284100,1.297710,1.272300,1.294900,1.294900,0
2015-03-09,1.295200,1.322200,1.292000,1.313000,1.313000,0
2015-03-16,1.312600,1.317000,1.280600,1.284700,1.284700,0
2015-03-23,1.284700,1.293500,1.259900,1.292900,1.292900,0
2015-03-30,1.292700,1.327100,1.292000,1.308200,1.308200,0
2015-04-06,1.308700,1.319500,1.292000,1.303900,1.303900,0
2015-04-13,1.304500,1.323900,1.274800,1.280500,1.280500,0
2015-04-20,1.281000,1.301200,1.275500,1.276600,1.276600,0
2015-04-27,1.276500,1.282900,1.238300,1.277100,1.277100,0
2015-05-04,1.277700,1.281300,1.245200,1.261700,1.261700,0
2015-05-11,1.262200,1.269300,1.225000,1.242700,1.242700,0
2015-05-18,1.243000,1.278600,1.242700,1.265500,1.265500,0
2015-05-25,1.280100,1.312600,1.275000,1.305800,1.305800,0
2015-06-01,1.308900,1.315400,1.279000,1.300700,1.300700,0
2015-06-08,1.312800,1.314400,1.283900,1.290510,1.290510,0
2015-06-15,1.294200,1.305200,1.273700,1.283700,1.283700,0
2015-06-22,1.287300,1.310200,1.282400,1.293000,1.293000,0
2015-06-29,1.312200,1.331400,1.292500,1.309100,1.309100,0
2015-07-06,1.335400,1.355700,1.327800,1.340300,1.340300,0
2015-07-13,1.347400,1.360200,1.335200,1.348600,1.348600,0
2015-07-20,1.357000,1.377000,1.342900,1.359400,1.359400,0
2015-07-27,1.374400,1.381800,1.358000,1.370900,1.370900,0
2015-08-03,1.369700,1.376500,1.346100,1.361400,1.361400,0
2015-08-10,1.351400,1.383900,1.344300,1.355900,1.355900,0
2015-08-17,1.356900,1.372500,1.353400,1.362900,1.362900,0
2015-08-24,1.378400,1.413800,1.374200,1.393900,1.393900,0
2015-08-31,1.400600,1.446800,1.396800,1.424700,1.424700,0
2015-09-07,1.441800,1.445700,1.410400,1.414200,1.414200,0
2015-09-14,1.407900,1.415200,1.373600,1.391000,1.391000,0
2015-09-21,1.390200,1.440400,1.389100,1.426200,1.426200,0
2015-09-28,1.424100,1.441100,1.411400,1.421100,1.421100,0
2015-10-05,1.419100,1.419500,1.361300,1.376000,1.376000,0
2015-10-12,1.367800,1.387300,1.354600,1.364400,1.364400,0
2015-10-19,1.377500,1.391200,1.368500,1.386600,1.386600,0
2015-10-26,1.384300,1.414000,1.375100,1.410400,1.410400,0
2015-11-02,1.401100,1.421300,1.384100,1.399000,1.399000,0
2015-11-09,1.420500,1.424300,1.397400,1.401100,1.401100,0
2015-11-16,1.406700,1.413300,1.379100,1.383547,1.383547,0
2015-11-23,1.383900,1.395900,1.372900,1.385200,1.385200,0
2015-11-30,1.391600,1.394200,1.353900,1.364300,1.364300,0
2015-12-07,1.362400,1.394100,1.362000,1.375100,1.375100,0
2015-12-14,1.395500,1.406000,1.372900,1.402900,1.402900,0
2015-12-21,1.394700,1.397200,1.371100,1.375100,1.375100,0
2015-12-28,1.372700,1.378100,1.365100,1.372300,1.372300,0
2016-01-04,1.372500,1.442800,1.371200,1.440300,1.440300,0
2016-01-11,1.440800,1.463450,1.418600,1.457500,1.457500,0
2016-01-18,1.457900,1.463700,1.419200,1.427750,1.427750,0
2016-01-25,1.428200,1.444400,1.400200,1.414700,1.414700,0
2016-02-01,1.414200,1.427300,1.380600,1.411200,1.411200,0
2016-02-08,1.411200,1.433300,1.398400,1.405100,1.405100,0
2016-02-15,1.405100,1.414180,1.392000,1.400000,1.400000,0
2016-02-22,1.399400,1.404900,1.377800,1.402900,1.402900,0
2016-02-29,1.402700,1.406400,1.345500,1.349270,1.349270,0
2016-03-07,1.349700,1.352300,1.318400,1.322200,1.322200,0
2016-03-14,1.322100,1.348100,1.301600,1.316200,1.316200,0
